"misto","plus_180_percent","GoodSchool_percent","BadSchool_percent","Population","Registered.IT.FOP","FOP_percent"
"Київ",6.6,22.1,58.8,28453,37443,1.32
"Харків",5.1,13.8,73.4,12098,18484,1.53
"Одеса",2.8,9.4,75.4,11277,5297,0.47
"Львів",5.4,14.2,65.9,9946,10963,1.1
"Дніпро",4.6,9.6,78.5,9485,8679,0.92
"Запоріжжя",3.2,23.9,70.9,7661,3678,0.48
"Кривий Ріг",2.9,10.5,85.2,6436,1284,0.2
"Вінниця",2.9,10,78.2,5799,2875,0.5
"Миколаїв",3,5.8,87.2,4257,3517,0.83
"Івано-Франківськ",2.3,8.6,88.9,4236,1238,0.29
"Чернівці",1.8,5.4,83.8,4002,1093,0.27
"Маріуполь",3.7,6.5,72.2,3945,649,0.16
"Херсон",4.1,14.4,83.5,3944,1064,0.27
"Житомир",2.8,6.5,84,3888,1503,0.39
"Хмельницький",3.2,23.7,73.8,3665,1098,0.3
"Луцьк",3.8,21.1,69,3473,600,0.17
"Тернопіль",2.7,5.7,67.2,3340,888,0.27
"Рівне",4.2,16.3,77.4,3189,927,0.29
"Полтава",3.2,9.4,80.8,3109,955,0.31
"Суми",5.4,16.7,72,2982,1059,0.36
"Чернігів",4.9,18.4,60.3,2896,1418,0.49
"Черкаси",5.3,16,65.6,2740,1973,0.72
