"oblast_ua","Village","City1","City2","City3","BigCity"
"Вінницька",0.9,2.2,1.5,2,2.9
"Волинська",0.6,1,2.3,2.8,3.8
"Дніпропетровська",0.4,0.9,2.1,2.8,3.7
"Донецька",1,1.3,2.3,2,3.6
"Житомирська",0.8,1.8,1.4,2,2.8
"Закарпатська",0.1,0.3,1.1,1.2,2.7
"Запорізька",0.4,0.9,1.8,0,2.7
"Івано-Франківська",0.6,1.5,2.7,4,2
"Київська",0.6,2,3.7,3,3.1
"Кіровоградська",0.3,0.9,1.5,3.2,2.6
"Луганська",1,0.8,1,1.8,2.8
"Львівська",1.7,2.8,2.9,2.1,4.9
"м.Київ",0,0,0,0,6.6
"Миколаївська",0.4,0.4,1.6,1.5,3
"Одеська",0.8,1.6,2.3,2.2,2.8
"Полтавська",0.5,2.6,2.6,2.8,2.9
"Рівненська",0.6,1,2.9,2.5,4.2
"Сумська",1,0.9,1.3,2.6,5.4
"Тернопільська",0.9,1.4,1.7,1.2,2.7
"Харківська",0.9,1.5,2.1,1.9,5.1
"Херсонська",0.5,0.6,2.5,1.8,4.1
"Хмельницька",0.4,1.7,2.6,1.6,2.7
"Черкаська",0.6,2,1.9,1.7,5.3
"Чернівецька",0.3,0.5,0.7,0,1.8
"Чернігівська",0,1.8,1.8,3.6,4.9
