name,value,my_type,color
ТСН,2260000,followers,норм
112 Украина,800000,followers,ру
NEWSONE,577000,followers,ру
Факти ICTV,760000,followers,норм
НАШ,534000,followers,ру
5 канал,588000,followers,норм
24 Канал,751000,followers,норм
Телеканал ZIK,446000,followers,ру
hromadske,422000,followers,норм
Espreso.TV,432000,followers,норм
ТСН,1900630690,views,норм
112 Украина,866282348,views,ру
NEWSONE,649121343,views,ру
Факти ICTV,483663398,views,норм
НАШ,431682469,views,ру
5 канал,420596695,views,норм
24 Канал,406431083,views,норм
Телеканал ZIK,351332541,views,ру
hromadske,282016350,views,норм
Espreso.TV,250956910,views,норм
